Date,Open,High,Low,Close,Adj Close,Volume
2019-09-30,2.250000,2.300000,2.130000,2.160000,2.160000,77600
2019-10-01,2.150000,2.161000,2.001000,2.120000,2.120000,95200
2019-10-02,2.080000,2.080000,1.920000,2.000000,2.000000,174100
2019-10-03,2.010000,2.120000,2.010000,2.120000,2.120000,65200
2019-10-04,2.110000,2.157000,2.080000,2.130000,2.130000,47900
2019-10-07,2.100000,2.190000,2.080000,2.080000,2.080000,122900
2019-10-08,2.100000,2.120000,1.964000,2.000000,2.000000,132900
2019-10-09,1.990000,2.025000,1.950000,2.000000,2.000000,61700
2019-10-10,2.020000,2.100000,2.020000,2.050000,2.050000,58500
2019-10-11,2.050000,2.323000,2.050000,2.190000,2.190000,72500
2019-10-14,2.200000,2.390000,2.200000,2.280000,2.280000,69200
2019-10-15,2.280000,2.300000,2.170000,2.250000,2.250000,63600
2019-10-16,2.230000,2.300000,2.150000,2.185000,2.185000,57900
2019-10-17,2.530000,2.530000,2.110000,2.130000,2.130000,1795200
2019-10-18,2.140000,2.170000,1.950000,2.020000,2.020000,467200
2019-10-21,2.020000,2.029000,1.850000,1.970000,1.970000,247400
2019-10-22,1.960000,2.050000,1.930000,2.000000,2.000000,225200
2019-10-23,2.000000,2.141000,1.980000,2.130000,2.130000,112900
2019-10-24,2.120000,2.146000,2.050000,2.050000,2.050000,39700
2019-10-25,2.070000,2.180000,2.050000,2.140000,2.140000,69000
2019-10-28,2.130000,2.230000,2.100000,2.120000,2.120000,132200
2019-10-29,2.080000,2.125000,2.050000,2.060000,2.060000,49000
2019-10-30,2.050000,2.094000,2.010000,2.065000,2.065000,62200
2019-10-31,2.040000,2.150000,1.930000,2.100000,2.100000,172900
2019-11-01,2.130000,2.300000,2.100000,2.290000,2.290000,101900
2019-11-04,2.350000,2.361000,2.293000,2.340000,2.340000,108100
2019-11-05,2.370000,2.377000,2.230000,2.350000,2.350000,74000
2019-11-06,2.320000,2.320000,2.250000,2.260000,2.260000,24500
2019-11-07,2.340000,2.370000,2.250000,2.370000,2.370000,97200
2019-11-08,2.290000,2.500000,2.290000,2.450000,2.450000,228600
2019-11-11,2.450000,2.470000,2.410000,2.420000,2.420000,68900
2019-11-12,2.420000,2.450000,2.400000,2.420000,2.420000,62300
2019-11-13,2.390000,2.450000,2.336000,2.400000,2.400000,53100
2019-11-14,2.370000,2.420000,2.350000,2.410000,2.410000,36300
2019-11-15,2.380000,2.410000,2.100000,2.190000,2.190000,275700
2019-11-18,2.140000,2.300000,2.110000,2.300000,2.300000,59700
2019-11-19,2.280000,2.320000,2.191000,2.220000,2.220000,54400
2019-11-20,2.170000,2.350000,2.110000,2.250000,2.250000,61700
2019-11-21,2.226000,2.315000,2.215000,2.220000,2.220000,19500
2019-11-22,2.218000,2.310000,2.210000,2.270000,2.270000,63800
2019-11-25,2.320000,2.450000,2.300000,2.330000,2.330000,99200
2019-11-26,2.300000,2.447000,2.260000,2.360000,2.360000,74200
2019-11-27,2.340000,2.340000,2.270000,2.310000,2.310000,55000
2019-11-29,2.340000,2.500000,2.330000,2.450000,2.450000,236400
2019-12-02,2.480000,2.750000,2.390000,2.670000,2.670000,424000
2019-12-03,2.650000,2.730000,2.530000,2.560000,2.560000,165100
2019-12-04,2.580000,2.614000,2.520000,2.520000,2.520000,94800
2019-12-05,2.520000,2.640000,2.510000,2.600000,2.600000,111800
2019-12-06,2.660000,2.660000,2.550000,2.550000,2.550000,183200
2019-12-09,2.620000,3.040000,2.572000,3.000000,3.000000,555500
2019-12-10,3.000000,3.240000,2.760000,3.080000,3.080000,394500
2019-12-11,3.160000,3.460000,3.088000,3.400000,3.400000,449300
2019-12-12,3.490000,3.650000,3.250000,3.480000,3.480000,394700
2019-12-13,3.450000,3.467000,3.060000,3.240000,3.240000,202100
2019-12-16,3.240000,3.260000,3.050000,3.180000,3.180000,144800
2019-12-17,3.210000,3.296000,3.170000,3.210000,3.210000,109900
2019-12-18,3.230000,3.444000,3.170000,3.340000,3.340000,152300
2019-12-19,3.380000,3.390000,3.210000,3.210000,3.210000,170000
2019-12-20,3.210000,3.250000,3.100000,3.130000,3.130000,140100
2019-12-23,3.130000,3.250000,3.130000,3.140000,3.140000,60855
